2000,9286180e649442658f3bd72e6c85946b
2001,cfa0b33960e64f19a272403ddfdec790
2002,c663923d42a2494684dc4681412d55e2
2003,34d119ac6b47473ab6929685a882c6c4
2004,bea143c30295430abdff3a08afab7794
2005,45c80fc9019d4daca1afceafe69f19ca
2006,2c2146da7ca6492192062e8980fc1c5a
2007,dead288ea7a94196940848f5bf90aa50
2008,f73e332e9dac4c7982cf497ee5494021
2009,8023d671e3c7413f9fbf7806284f8089
2010,1bd6d2699b7e47ae9d440c4c78e2f3d3
2011,a129a9854a7640d8a9524a729293598c
2012,5d40c66d2d8c4c428dc5c6536893e74c
2013,4805c46604864ea58dbe069b59a9578c
2014,6940556a4b7b44f497f5e4311e2033cf
2015,c4d85c20bde84e439174ac2043d6a191
2016,02067a603f4743f0b4e37da789131d70
2017,fd4db6a906f549789a03ffb995830e17
2018,03c4a6b434584f1aa097cf8093458bfe
2019,e2c99aac9aa44b9ca88e724a6deb910f
2020,e63319db832a43409e6865ee4f3ee860
2021,a37bccf264a041b2bc49e6bdb576561b
2022,081e3da4d0284bbd927fde2e581b23f9
2023,5a6294c5cd86448d9586583c42efd463
2024,489cf408224a467890dd56f33d67dfa8
2025,a79ae0da9503496dad6b2001d4e7065f
2026,cc7a9365ef5047818c495844b723e5a7
2027,0491710ed9d847969d5bf879ab3dc0b0
2028,ac72a8ce9a264bb2a5c3ef11c801471e
2029,fdc5212f22264b2eb711d0c44dd1e26d
2030,0c3fb378be9d433ea5a20039f18e61ac
2031,3e998fd544944d24b7416cba4a7cb716
2032,e9b9f6d0793c4e89bfde0ae3ebcb3275
2033,ab309683afe74223a584bb0cc1e4b166
2034,d1991b2abf5a4d898ab02769b060fc26
2035,eb180a7449a746f9867d2499f6ff9759
2036,de96d89538ce4f1e9cd85ca0a64e7bd1
2037,5a89f5bd6fd94a87ad3bf5671bd02c24
2038,b55decc0950a448783acfd88021b3bf8
2039,c6db658eb5a947e385b59f00ee98dd93
2040,c509f7bf306b4816bc524da775f89f2f
2041,36790ad6780d469d990b778fda1f0e43
2042,1930c2c2a68a491d8a2c8a6f94f2a0f3
2043,073eb04579364f0493911e921ece5dd6
2044,71d4dd1f67ea4013b3b5b4ee461190bd
2045,a22b6e1369e64541b6c6e40246b844d1
2046,1a60c95500e94224adf919689f1ab840
2047,4fc2baab6f9744659e07881b4a5d289a
2048,5d44f5ebf2724daba096831f74392627
2049,1a50c42348aa4a6ebbc017e16a50731d
2050,c51fb7a3f0be4d89a79a64c6ea0a61f4
2051,e3d670829ddc48b6878a4c78bc7642a6
2052,5f4fa2ae5cb148f5b1f1e82872e79d41
2053,ba7790d13624493b9205fd77fdd7a85e
2054,3918bef37a7e419ba11f7f9a3f36168c
2055,89535ee0a3d24d648113d1a634466882
2056,717d2fc67e664f1c93dd54d21cc4c015
2057,e3c1dc0082964d9b8c3c44761d6bdc87
2058,65eec838233a4e5dab4e2c7569177582
2059,48cdcd531756431bb6c515cef57e7d8c
2060,ee497e1730284a5987aa6d33427259a4
2061,2bfe55bdef044e55b604a5ef63a0da5c
2062,98d81e323b5942e489f5536a6891ee05
2063,c346c4e8b5884b639ec714bd28f2c5c2
2064,b7c0f35d3eca4c0b960c2530fd8cdb93
2065,f3b1314fc1174dcbb66bc05bae07f4e6
2066,3d1d950aae554e0793373988834ed85b
2067,99e058a38ad3472cb928736125577f47
2068,9ccf88528c7a446d9e75f495cf9e8442
2069,2910b229efb74e2b81d9f334d5dea636
2070,54a2879c4b1141139886f3540ad3cb31
2071,bed030f290a74d3bb2814985df3dda15
2072,c3245f3dcdc84d188b2578c03514e682
2073,4df9bd8ae6804fdaa059a08cd2058da3
2074,e49be885907046228f8ec7b9c210e0a3
2075,dc45c19123944c4ea2074dc27fb5dc43
2076,9eac28aaaa634311abc6f16a54212046
2077,2af3103918a246c3804f0f1c5cff24a1
2078,b2bf396f4f9f4d5b994077c072193689
2079,472454ec6ae14e00924f5b9243dbdaf6
2080,9fec291dc4ac4cd6ade9619546a734e6
2081,26b644031c034b7b9377a9d9e0de5729
2082,1e3557032e5b4c1295b545483a1cb820
2083,17cb5ccc7eaf43f996647951f367afc7
2084,d363739db3c44fab8708ee95e5d9c2cb
2085,ac6c309d50854ff0a529c3fca0edadb3
2086,a6d4d54c77bb43eeb588b6c4bb9a6e36
2087,dd08c0a6ddd54466a2c8580a15c289d2
2088,ddd2f181878346e09cdc559b3e0da1b0
2089,6631e3b88ad04002b7242e1d017dcf2f
2090,51bfcb908d384bca9235193eef24ae30
2091,fda8fefb65054670af9be38255c55041
2092,8356e65f52e140c0a3ffc2f3582713fb
2093,055942a22fc34496b6eb04702a4ead6e
2094,fa551147246a469083f33a74d7f156ab
2095,5b55bb340ec846149f7e5c04fd7dd562
2096,bab28e46da604a31830a3e978a0ad9ef
2097,141250b02d0c42cf8b820f8caefaedf5
2098,73715392eae049b29b2e6f8c49ca5a4b
2099,872565143d5244ecb4033c7d1518abc2
